epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,911.281,1.07597,0.62734,0.95303,0.86796,0.85113,0.92372,0.64383,1.09037,0.62197,0.96634,0.00160004,0.00160004,0.00160004
103,920.271,1.06519,0.61167,0.93946,0.86142,0.88421,0.93202,0.66045,1.07895,0.60206,0.96677,0.00159608,0.00159608,0.00159608
104,929.312,1.09825,0.68124,0.95777,0.90109,0.84361,0.92931,0.65836,1.0737,0.59844,0.96451,0.00159212,0.00159212,0.00159212
105,938.382,1.04887,0.60579,0.93809,0.85144,0.87669,0.92304,0.64012,1.10446,0.63395,0.97553,0.00158816,0.00158816,0.00158816
106,947.255,1.06224,0.61376,0.94596,0.84762,0.8812,0.92356,0.64771,1.09405,0.62754,0.97222,0.0015842,0.0015842,0.0015842
107,956.138,1.07314,0.62171,0.9484,0.88149,0.8501,0.92579,0.64835,1.09705,0.61714,0.97897,0.00158024,0.00158024,0.00158024
108,965.257,1.06319,0.61717,0.94759,0.87128,0.855,0.92375,0.65169,1.08736,0.61405,0.96429,0.00157628,0.00157628,0.00157628
109,974.208,1.05735,0.6059,0.9426,0.85407,0.85371,0.91276,0.63711,1.09059,0.6433,0.97985,0.00157232,0.00157232,0.00157232
110,983.198,1.06214,0.59747,0.94402,0.86276,0.86972,0.93211,0.6511,1.10562,0.61829,0.98394,0.00156836,0.00156836,0.00156836
111,992.087,1.05245,0.61048,0.94043,0.87626,0.84127,0.92367,0.64291,1.1039,0.63406,0.98407,0.0015644,0.0015644,0.0015644
112,1000.9,1.05838,0.60101,0.94081,0.89726,0.84051,0.93296,0.65099,1.08696,0.61134,0.97268,0.00156044,0.00156044,0.00156044
113,1009.72,1.07036,0.61643,0.94591,0.85757,0.87218,0.93304,0.65361,1.09892,0.61414,0.97577,0.00155648,0.00155648,0.00155648
114,1018.6,1.05115,0.59821,0.93418,0.8932,0.86781,0.92854,0.64882,1.08705,0.59058,0.97832,0.00155252,0.00155252,0.00155252
115,1027.49,1.0643,0.61348,0.95122,0.87333,0.8782,0.9284,0.65267,1.08775,0.59101,0.96857,0.00154856,0.00154856,0.00154856
116,1036.65,1.04721,0.60602,0.93789,0.89844,0.8647,0.93435,0.658,1.07947,0.59344,0.96418,0.0015446,0.0015446,0.0015446
117,1045.55,1.04151,0.58275,0.93664,0.86952,0.87187,0.92726,0.65523,1.10571,0.59885,0.97662,0.00154064,0.00154064,0.00154064
118,1054.48,1.05282,0.58957,0.94553,0.90378,0.86617,0.93905,0.66077,1.08917,0.60384,0.97024,0.00153668,0.00153668,0.00153668
119,1063.36,1.05319,0.60038,0.94432,0.86535,0.88909,0.9289,0.65769,1.10253,0.59454,0.98081,0.00153272,0.00153272,0.00153272
120,1072.2,1.05694,0.60468,0.94186,0.84284,0.89023,0.9265,0.64768,1.11688,0.61079,0.9914,0.00152876,0.00152876,0.00152876
121,1081.09,1.05806,0.59906,0.94068,0.89219,0.86165,0.93699,0.6567,1.09605,0.58308,0.97608,0.0015248,0.0015248,0.0015248
122,1090.1,1.04726,0.60456,0.93868,0.88134,0.85564,0.93127,0.65742,1.10558,0.60603,0.98278,0.00152084,0.00152084,0.00152084
123,1099.05,1.0523,0.59882,0.94256,0.86927,0.85714,0.93171,0.66226,1.10567,0.59739,0.98017,0.00151688,0.00151688,0.00151688
124,1108.18,1.0582,0.59394,0.94531,0.87517,0.86316,0.92109,0.65109,1.12,0.60691,0.98596,0.00151292,0.00151292,0.00151292
125,1117.03,1.05821,0.59653,0.93856,0.83722,0.88872,0.92764,0.6517,1.09862,0.59854,0.97773,0.00150896,0.00150896,0.00150896
126,1125.95,1.03566,0.58327,0.93629,0.88975,0.88595,0.93487,0.65834,1.08234,0.5869,0.974,0.001505,0.001505,0.001505
127,1134.73,1.04466,0.59101,0.9382,0.87364,0.87068,0.92872,0.65658,1.09377,0.59026,0.97941,0.00150104,0.00150104,0.00150104
128,1143.65,1.04517,0.59518,0.94437,0.85941,0.87368,0.93127,0.65893,1.08019,0.5842,0.97029,0.00149708,0.00149708,0.00149708
129,1152.58,1.04133,0.58389,0.93848,0.86058,0.88271,0.92982,0.65278,1.10795,0.59089,0.98515,0.00149312,0.00149312,0.00149312
130,1161.46,1.04572,0.58674,0.94954,0.85739,0.89501,0.9278,0.64959,1.10488,0.59358,0.99001,0.00148916,0.00148916,0.00148916
131,1170.48,1.04543,0.58447,0.94179,0.88987,0.86165,0.92983,0.65401,1.08854,0.58959,0.97671,0.0014852,0.0014852,0.0014852
132,1179.46,1.05531,0.59363,0.94178,0.84709,0.88421,0.91958,0.65071,1.08319,0.59828,0.97887,0.00148124,0.00148124,0.00148124
133,1188.34,1.03165,0.5833,0.93103,0.86773,0.86767,0.93076,0.65867,1.07912,0.59753,0.97762,0.00147728,0.00147728,0.00147728
134,1197.32,1.0349,0.57292,0.93452,0.87262,0.85263,0.92595,0.65481,1.0785,0.59627,0.97155,0.00147332,0.00147332,0.00147332
135,1206.24,1.04204,0.58935,0.93667,0.8749,0.86917,0.92377,0.64284,1.09972,0.60343,0.98925,0.00146936,0.00146936,0.00146936
136,1215.12,1.05024,0.58704,0.94668,0.8659,0.87669,0.91974,0.65084,1.08204,0.58648,0.97535,0.0014654,0.0014654,0.0014654
137,1223.98,1.10188,0.60151,0.99698,0.87709,0.86316,0.92603,0.65434,1.10033,0.58867,0.99195,0.00146144,0.00146144,0.00146144
138,1232.84,1.03784,0.57487,0.93061,0.89551,0.86316,0.92873,0.66033,1.08911,0.59232,0.97555,0.00145748,0.00145748,0.00145748
139,1241.92,1.03803,0.58479,0.93777,0.86169,0.8797,0.93165,0.66098,1.07609,0.58718,0.97474,0.00145352,0.00145352,0.00145352
140,1250.78,1.02427,0.57356,0.93272,0.85531,0.88893,0.92716,0.65828,1.07782,0.60361,0.96564,0.00144956,0.00144956,0.00144956
141,1259.71,1.05171,0.58325,0.94064,0.87777,0.8639,0.93735,0.65785,1.09323,0.59579,0.9768,0.0014456,0.0014456,0.0014456
142,1268.6,1.02275,0.57616,0.93312,0.87238,0.8782,0.92404,0.65225,1.10551,0.60355,0.9872,0.00144164,0.00144164,0.00144164
143,1277.55,1.03305,0.57308,0.94135,0.86138,0.87838,0.92892,0.66692,1.07853,0.58212,0.97444,0.00143768,0.00143768,0.00143768
144,1286.52,1.04049,0.57963,0.94352,0.84447,0.87365,0.91941,0.64876,1.10606,0.6102,1.00098,0.00143372,0.00143372,0.00143372
145,1295.41,1.04353,0.57973,0.93405,0.84165,0.8797,0.92179,0.65457,1.09345,0.6011,0.97928,0.00142976,0.00142976,0.00142976
146,1304.34,1.04151,0.57068,0.93277,0.84414,0.88774,0.929,0.66612,1.08363,0.59369,0.97778,0.0014258,0.0014258,0.0014258
147,1313.53,1.02022,0.56512,0.92907,0.83873,0.8782,0.92508,0.65369,1.08323,0.60346,0.97316,0.00142184,0.00142184,0.00142184
148,1322.58,1.0035,0.63306,0.91875,0.86785,0.86617,0.92178,0.65737,1.09654,0.59797,0.98839,0.00141788,0.00141788,0.00141788
149,1331.52,1.02514,0.57632,0.93374,0.87787,0.86469,0.92521,0.65469,1.09124,0.6103,0.97472,0.00141392,0.00141392,0.00141392
150,1340.51,1.0186,0.56932,0.927,0.8333,0.90202,0.92593,0.65569,1.10863,0.60089,0.99528,0.00140996,0.00140996,0.00140996
151,1349.45,1.01853,0.56323,0.93362,0.91039,0.87078,0.93153,0.66886,1.07642,0.58095,0.96639,0.001406,0.001406,0.001406
152,1358.49,1.02185,0.57051,0.92815,0.88636,0.84449,0.92337,0.66264,1.08219,0.60588,0.96798,0.00140204,0.00140204,0.00140204
153,1367.49,1.02583,0.56751,0.9294,0.84381,0.87669,0.91928,0.65785,1.09855,0.59403,0.97496,0.00139808,0.00139808,0.00139808
154,1376.47,1.03114,0.56431,0.9383,0.86685,0.89087,0.935,0.66228,1.08787,0.58168,0.96982,0.00139412,0.00139412,0.00139412
155,1385.49,1.01328,0.55667,0.92646,0.85689,0.86917,0.9282,0.65936,1.09467,0.59748,0.98094,0.00139016,0.00139016,0.00139016
156,1394.34,1.02245,0.56533,0.92841,0.86828,0.88224,0.93452,0.66934,1.08234,0.57419,0.97234,0.0013862,0.0013862,0.0013862
157,1403.36,1.03232,0.56715,0.93551,0.88295,0.87218,0.92744,0.66692,1.0879,0.58715,0.97584,0.00138224,0.00138224,0.00138224
158,1412.39,1.01255,0.56175,0.92712,0.86629,0.85263,0.92189,0.66193,1.09992,0.59239,0.98709,0.00137828,0.00137828,0.00137828
159,1421.41,1.01285,0.56747,0.92829,0.85602,0.87519,0.92156,0.65631,1.0956,0.59206,0.97944,0.00137432,0.00137432,0.00137432
160,1430.44,1.01184,0.56327,0.93081,0.85783,0.89824,0.9295,0.66725,1.09634,0.58077,0.97969,0.00137036,0.00137036,0.00137036
161,1439.45,1.01922,0.5567,0.92653,0.87154,0.87737,0.92523,0.6598,1.09561,0.58193,0.98621,0.0013664,0.0013664,0.0013664
162,1448.55,1.01709,0.56301,0.92811,0.84998,0.89474,0.92638,0.65714,1.10871,0.58719,0.99315,0.00136244,0.00136244,0.00136244
163,1457.73,1.02937,0.56313,0.93153,0.89113,0.8616,0.92835,0.66028,1.10528,0.58852,0.97914,0.00135848,0.00135848,0.00135848
164,1466.74,1.02295,0.55822,0.92937,0.87101,0.8834,0.92627,0.65742,1.09034,0.5907,0.98231,0.00135452,0.00135452,0.00135452
165,1475.76,1.02371,0.57111,0.92993,0.86054,0.88154,0.9366,0.66827,1.07461,0.58325,0.9605,0.00135056,0.00135056,0.00135056
166,1484.83,1.01179,0.55385,0.93512,0.87424,0.86766,0.93004,0.6616,1.0808,0.60022,0.96891,0.0013466,0.0013466,0.0013466
167,1493.82,1.02731,0.56442,0.9357,0.85451,0.89173,0.9238,0.66027,1.1,0.59486,0.99149,0.00134264,0.00134264,0.00134264
168,1502.89,1.01751,0.57191,0.93232,0.87987,0.86617,0.92986,0.66493,1.08275,0.58118,0.97506,0.00133868,0.00133868,0.00133868
169,1511.93,1.00091,0.55633,0.92423,0.85772,0.87068,0.92561,0.66285,1.0843,0.58789,0.97464,0.00133472,0.00133472,0.00133472
