epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,45.4443,0.90731,1.19226,0.80722,0.94931,0.70383,0.31884,0.44433,0.21779,0.72599,0.30435,0.39918,0.1792,1.56861,3.44202,2.29559,1.38914,0.0013872,0.0013872,0.0013872
85,45.8984,1.0787,1.42633,0.94062,1.03731,0.70383,0.31884,0.44433,0.21779,0.72599,0.30435,0.39918,0.1792,1.56861,3.44202,2.29559,1.38914,0.00140058,0.00140058,0.00140058
86,46.3554,1.04298,1.49392,0.94684,1.03885,0.70383,0.31884,0.44433,0.21779,0.72599,0.30435,0.39918,0.1792,1.56861,3.44202,2.29559,1.38914,0.00141389,0.00141389,0.00141389
87,46.8073,0.94018,1.41226,1.0787,1.03466,0.70383,0.31884,0.44433,0.21779,0.72599,0.30435,0.39918,0.1792,1.56861,3.44202,2.29559,1.38914,0.00142712,0.00142712,0.00142712
88,47.3144,1.23797,1.96925,1.10048,1.07648,0.69687,0.4665,0.52,0.28149,0.72543,0.46377,0.4772,0.23744,1.52754,3.30485,1.99174,1.32903,0.00144027,0.00144027,0.00144027
89,47.7594,0.91747,1.54366,0.85537,1.00901,0.69687,0.4665,0.52,0.28149,0.72543,0.46377,0.4772,0.23744,1.52754,3.30485,1.99174,1.32903,0.00145334,0.00145334,0.00145334
90,48.2167,0.88268,1.60064,0.94573,1.02209,0.69687,0.4665,0.52,0.28149,0.72543,0.46377,0.4772,0.23744,1.52754,3.30485,1.99174,1.32903,0.00146633,0.00146633,0.00146633
91,48.6579,0.88858,1.26023,0.83845,0.94811,0.69687,0.4665,0.52,0.28149,0.72543,0.46377,0.4772,0.23744,1.52754,3.30485,1.99174,1.32903,0.00147924,0.00147924,0.00147924
92,49.0983,0.90291,1.41019,0.98614,1.02687,0.59533,0.55439,0.50818,0.30211,0.57976,0.53989,0.47791,0.26761,1.50825,3.09777,1.76408,1.27677,0.00149207,0.00149207,0.00149207
93,49.5339,0.90704,1.36709,1.15966,1.00963,0.59533,0.55439,0.50818,0.30211,0.57976,0.53989,0.47791,0.26761,1.50825,3.09777,1.76408,1.27677,0.00150483,0.00150483,0.00150483
94,50.0112,0.92457,1.49719,0.82959,0.95951,0.59533,0.55439,0.50818,0.30211,0.57976,0.53989,0.47791,0.26761,1.50825,3.09777,1.76408,1.27677,0.0015175,0.0015175,0.0015175
95,50.4894,1.15115,1.97017,1.05982,1.0508,0.59533,0.55439,0.50818,0.30211,0.57976,0.53989,0.47791,0.26761,1.50825,3.09777,1.76408,1.27677,0.00153009,0.00153009,0.00153009
96,50.9737,0.97557,1.45949,0.91849,0.97946,0.58694,0.52174,0.51988,0.28024,0.61305,0.50725,0.48705,0.2617,1.56147,3.05082,1.82946,1.27181,0.00154261,0.00154261,0.00154261
97,51.4224,0.94941,1.47571,0.88631,1.05187,0.58694,0.52174,0.51988,0.28024,0.61305,0.50725,0.48705,0.2617,1.56147,3.05082,1.82946,1.27181,0.00155505,0.00155505,0.00155505
98,51.8826,0.96947,1.4247,0.92239,0.97295,0.58694,0.52174,0.51988,0.28024,0.61305,0.50725,0.48705,0.2617,1.56147,3.05082,1.82946,1.27181,0.0015674,0.0015674,0.0015674
99,52.3258,0.96358,1.50492,0.89166,0.95644,0.58694,0.52174,0.51988,0.28024,0.61305,0.50725,0.48705,0.2617,1.56147,3.05082,1.82946,1.27181,0.00157968,0.00157968,0.00157968
100,52.8061,0.91335,1.32922,0.88406,0.96027,0.53205,0.43478,0.44966,0.23408,0.59154,0.44928,0.47143,0.22106,1.68183,3.19895,1.94639,1.35614,0.00159188,0.00159188,0.00159188
101,53.2397,0.93725,1.3078,0.85182,0.97365,0.53205,0.43478,0.44966,0.23408,0.59154,0.44928,0.47143,0.22106,1.68183,3.19895,1.94639,1.35614,0.001604,0.001604,0.001604
102,53.69,0.8789,1.25542,0.85472,0.93261,0.53205,0.43478,0.44966,0.23408,0.59154,0.44928,0.47143,0.22106,1.68183,3.19895,1.94639,1.35614,0.00160004,0.00160004,0.00160004
103,54.1207,0.87443,1.28278,0.92113,0.9978,0.53205,0.43478,0.44966,0.23408,0.59154,0.44928,0.47143,0.22106,1.68183,3.19895,1.94639,1.35614,0.00159608,0.00159608,0.00159608
104,54.6327,1.0427,1.5353,0.90716,0.98027,0.60804,0.56209,0.51324,0.27518,0.56566,0.49076,0.45947,0.23781,1.54846,2.96826,1.90584,1.32124,0.00159212,0.00159212,0.00159212
105,55.0834,0.95168,1.55202,0.84093,0.95617,0.60804,0.56209,0.51324,0.27518,0.56566,0.49076,0.45947,0.23781,1.54846,2.96826,1.90584,1.32124,0.00158816,0.00158816,0.00158816
106,55.6186,1.02288,1.57441,0.86609,1.00189,0.60804,0.56209,0.51324,0.27518,0.56566,0.49076,0.45947,0.23781,1.54846,2.96826,1.90584,1.32124,0.0015842,0.0015842,0.0015842
107,56.0631,0.95045,1.15986,0.87299,0.99666,0.60804,0.56209,0.51324,0.27518,0.56566,0.49076,0.45947,0.23781,1.54846,2.96826,1.90584,1.32124,0.00158024,0.00158024,0.00158024
108,56.5458,0.92499,1.16701,0.8552,1.00965,0.6438,0.56522,0.54168,0.29738,0.51685,0.52174,0.48272,0.26025,1.39235,2.87195,1.81087,1.24972,0.00157628,0.00157628,0.00157628
109,56.9809,0.95433,1.46234,1.02695,1.04136,0.6438,0.56522,0.54168,0.29738,0.51685,0.52174,0.48272,0.26025,1.39235,2.87195,1.81087,1.24972,0.00157232,0.00157232,0.00157232
110,57.4598,1.02815,1.50609,0.9804,1.00527,0.6438,0.56522,0.54168,0.29738,0.51685,0.52174,0.48272,0.26025,1.39235,2.87195,1.81087,1.24972,0.00156836,0.00156836,0.00156836
111,58.3351,0.83281,1.23018,0.76454,0.94591,0.6438,0.56522,0.54168,0.29738,0.51685,0.52174,0.48272,0.26025,1.39235,2.87195,1.81087,1.24972,0.0015644,0.0015644,0.0015644
112,58.8171,0.90962,1.29644,0.80472,0.95869,0.60956,0.53623,0.54568,0.31431,0.59834,0.52174,0.52248,0.25033,1.33889,3.12915,1.63885,1.22998,0.00156044,0.00156044,0.00156044
113,59.2992,0.88105,1.16583,0.80048,0.96741,0.60956,0.53623,0.54568,0.31431,0.59834,0.52174,0.52248,0.25033,1.33889,3.12915,1.63885,1.22998,0.00155648,0.00155648,0.00155648
114,59.7625,0.9164,1.45293,0.81051,0.97357,0.60956,0.53623,0.54568,0.31431,0.59834,0.52174,0.52248,0.25033,1.33889,3.12915,1.63885,1.22998,0.00155252,0.00155252,0.00155252
115,60.2288,0.86444,1.24479,0.80609,0.92864,0.60956,0.53623,0.54568,0.31431,0.59834,0.52174,0.52248,0.25033,1.33889,3.12915,1.63885,1.22998,0.00154856,0.00154856,0.00154856
116,60.7029,0.96327,1.64425,0.83536,0.9746,0.50113,0.61148,0.52589,0.29222,0.45292,0.56522,0.45782,0.17637,1.36059,3.50272,1.65093,1.25393,0.0015446,0.0015446,0.0015446
117,61.144,0.85548,1.09597,0.84017,1.01585,0.50113,0.61148,0.52589,0.29222,0.45292,0.56522,0.45782,0.17637,1.36059,3.50272,1.65093,1.25393,0.00154064,0.00154064,0.00154064
118,61.5866,0.85161,1.17542,0.80559,1.0057,0.50113,0.61148,0.52589,0.29222,0.45292,0.56522,0.45782,0.17637,1.36059,3.50272,1.65093,1.25393,0.00153668,0.00153668,0.00153668
119,62.052,0.86867,1.21516,0.78911,0.97456,0.50113,0.61148,0.52589,0.29222,0.45292,0.56522,0.45782,0.17637,1.36059,3.50272,1.65093,1.25393,0.00153272,0.00153272,0.00153272
120,62.532,0.9094,1.25396,0.79136,0.95816,0.51268,0.71665,0.56445,0.30608,0.45869,0.63862,0.47837,0.23221,1.40635,3.70574,1.6615,1.26836,0.00152876,0.00152876,0.00152876
121,62.9906,1.06944,1.52377,0.92922,0.98337,0.51268,0.71665,0.56445,0.30608,0.45869,0.63862,0.47837,0.23221,1.40635,3.70574,1.6615,1.26836,0.0015248,0.0015248,0.0015248
122,63.4329,0.94539,1.28119,0.85899,0.98326,0.51268,0.71665,0.56445,0.30608,0.45869,0.63862,0.47837,0.23221,1.40635,3.70574,1.6615,1.26836,0.00152084,0.00152084,0.00152084
123,63.8802,0.85187,1.08133,0.79683,0.94841,0.51268,0.71665,0.56445,0.30608,0.45869,0.63862,0.47837,0.23221,1.40635,3.70574,1.6615,1.26836,0.00151688,0.00151688,0.00151688
124,64.358,0.91919,1.34929,0.9362,0.95081,0.54902,0.62319,0.5483,0.31763,0.47429,0.54918,0.45179,0.20953,1.40554,3.84121,1.67108,1.26252,0.00151292,0.00151292,0.00151292
125,64.8463,0.91477,1.35932,0.82574,0.95837,0.54902,0.62319,0.5483,0.31763,0.47429,0.54918,0.45179,0.20953,1.40554,3.84121,1.67108,1.26252,0.00150896,0.00150896,0.00150896
