epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,1273.17,1.00901,0.55185,0.91909,0.89475,0.86128,0.92905,0.65918,1.16988,0.58203,0.9709,0.00137036,0.00137036,0.00137036
161,1281.13,1.00728,0.56296,0.92325,0.87052,0.88298,0.9267,0.65,1.1589,0.57515,0.98582,0.0013664,0.0013664,0.0013664
162,1289.03,1.00157,0.54637,0.92289,0.87988,0.8818,0.92962,0.65024,1.18981,0.58068,0.98264,0.00136244,0.00136244,0.00136244
163,1297.24,1.01552,0.56292,0.92791,0.88326,0.8743,0.93294,0.64584,1.18027,0.58988,0.98288,0.00135848,0.00135848,0.00135848
164,1305.12,1.00208,0.5548,0.9252,0.88636,0.87801,0.92686,0.65568,1.15233,0.57407,0.98688,0.00135452,0.00135452,0.00135452
165,1313.06,1.00116,0.55383,0.91793,0.86313,0.90056,0.92823,0.65373,1.14831,0.57313,0.97547,0.00135056,0.00135056,0.00135056
166,1321.04,1.00284,0.55163,0.92094,0.8745,0.86304,0.92656,0.65276,1.16136,0.58887,0.97721,0.0013466,0.0013466,0.0013466
167,1329.1,1.00613,0.55412,0.92242,0.8657,0.89494,0.93296,0.65194,1.16154,0.57431,0.98165,0.00134264,0.00134264,0.00134264
168,1337.11,0.99983,0.54755,0.91649,0.87075,0.88481,0.92187,0.64166,1.172,0.58608,0.97932,0.00133868,0.00133868,0.00133868
169,1345.03,1.00183,0.55306,0.92007,0.88958,0.87666,0.92863,0.65153,1.17876,0.57144,0.98377,0.00133472,0.00133472,0.00133472
170,1352.99,1.00173,0.5386,0.92256,0.85391,0.90432,0.91624,0.63548,1.18471,0.57881,0.98937,0.00133076,0.00133076,0.00133076
171,1361.18,0.99345,0.54653,0.91124,0.88096,0.89869,0.92979,0.64996,1.17123,0.56159,0.97742,0.0013268,0.0013268,0.0013268
172,1369.79,0.98201,0.53896,0.91664,0.88914,0.9029,0.94004,0.64925,1.16133,0.56495,0.97353,0.00132284,0.00132284,0.00132284
173,1377.92,1.00593,0.54336,0.92208,0.87619,0.88931,0.93936,0.65865,1.16951,0.57217,0.97387,0.00131888,0.00131888,0.00131888
174,1385.93,1.0004,0.54452,0.92184,0.86324,0.87632,0.92627,0.65328,1.17413,0.5758,0.97581,0.00131492,0.00131492,0.00131492
175,1394.09,0.98639,0.53861,0.92302,0.88257,0.88831,0.93112,0.6532,1.15577,0.55711,0.97868,0.00131096,0.00131096,0.00131096
176,1402.36,0.99941,0.54189,0.92216,0.90299,0.87323,0.9315,0.65212,1.17484,0.56924,0.98172,0.001307,0.001307,0.001307
177,1410.67,1.00484,0.548,0.91927,0.87557,0.8743,0.92389,0.64226,1.15976,0.58869,0.98494,0.00130304,0.00130304,0.00130304
